field_1,Date,Latitude,Longitude,DaysOld
10,20221103,35.82290540226672,-5.132957386343672,114.0
11,20221103,35.745132105699874,-4.976429681787822,114.0
12,20221103,35.70765144645073,-5.004520219034515,114.0
13,20221103,35.54160067156373,-5.208993241601375,114.0
14,20221103,35.536964021180495,-5.189908678728012,114.0
15,20221103,35.40226388392525,-5.024148819192383,114.0
6,20221103,36.884950751656895,6.950254248825021,114.0
7,20221103,35.87512628311186,-4.9984655387955765,114.0
26,20221103,39.0481088064908,7.3958051047142686,114.0
25,20221103,39.018189542467326,7.439303346311707,114.0
24,20221103,38.95683472708109,7.9547714372715,114.0
3,20221103,37.69790558311515,7.216558149121498,114.0
4,20221103,37.725787617130266,7.389778193919499,114.0
5,20221103,37.73057053962288,7.082063084847401,114.0
6,20221103,37.73883802211108,7.207559767857667,114.0
7,20221103,37.85208793708656,7.164473351068368,114.0
8,20221103,37.75200310482926,5.758379784184943,114.0
9,20221103,38.08505216532927,8.15555091189558,114.0
10,20221103,37.876100965222,5.849751430511303,114.0
11,20221103,37.8762099370053,5.850477438180217,114.0
12,20221103,38.129191267979,7.624753178961843,114.0
13,20221103,38.32540234740215,8.148955390184442,114.0
14,20221103,38.05671473617036,5.776434261959589,114.0
15,20221103,38.24501421079281,6.261571571594815,114.0
16,20221103,38.52189684051289,8.3770332350659,114.0
17,20221103,38.37776982498192,6.833209498905762,114.0
18,20221103,38.57092192105553,8.324972628090855,114.0
19,20221103,38.57931577426164,8.038018334836659,114.0
20,20221103,38.42630328614431,6.007215538615971,114.0
21,20221103,38.40908311705796,5.711714654684703,114.0
22,20221103,38.50458999511137,5.741659478105876,114.0
23,20221103,38.88907399013938,7.694888114831555,114.0
24,20221103,37.261928672837705,7.55693205447767,114.0
2,20221103,37.69807199167169,7.218075649069143,114.0
25,20221103,37.26241602274231,7.657538124596916,114.0
27,20221103,37.30982603057876,7.62747432625903,114.0
9,20221103,39.95566408402161,5.328792177429734,114.0
10,20221103,40.31914164601793,7.1881494603060885,114.0
11,20221103,40.41664633862887,5.780146104136594,114.0
44,20221103,37.43055763367797,6.81742881396204,114.0
45,20221103,37.4459452643704,6.8266309291641445,114.0
46,20221103,37.44578124632377,6.825175141974755,114.0
47,20221103,37.61501672918644,8.12378494316364,114.0
14,20221103,36.956614239251685,6.85368801387026,114.0
13,20221103,36.92114775872468,6.984235836465939,114.0
